,id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
567,460,The Squirt and the Whale,4/25/10,MABF14,21,19,460,5.94,40632.0,6.9
568,468,Treehouse of Horror XXI,11/7/10,MABF16,22,4,468,8.19,61954.0,7.1
569,493,The Man in the Blue Flannel Pants,11/27/11,PABF01,23,7,493,5.61,41687.0,6.8
570,524,Dark Knight Court,3/17/13,RABF10,24,16,524,4.89,44170.0,7.1
571,529,The Saga of Carl,5/19/13,RABF14,24,21,529,4.01,42996.0,7.2
572,546,You Don't Have to Live Like a Referee,3/30/14,SABF11,25,16,546,3.91,42080.0,6.9
573,567,The Princess Guide,3/1/15,TABF08,26,15,567,3.93,34137.0,6.6
574,592,How Lisa Got Her Marge Back,4/10/16,VABF11,27,18,592,2.55,188.0,6.4
575,596,Orange Is the New Yellow,5/22/16,VABF15,27,22,596,2.54,276.0,6.9
576,597,Monty Burns' Fleeing Circus,9/25/16,VABF20,28,1,597,3.36,994.0,6.6
577,262,New Kids on the Blecch,2/25/01,CABF12,12,14,262,18.1,50903.0,7.2
578,277,Sweets and Sour Marge,1/20/02,DABF03,13,8,277,12.3,54348.0,7.0
579,290,The Frying Game,5/19/02,DABF16,13,21,290,10.8,48954.0,7.1
580,303,I'm Spelling As Fast As I Can,2/16/03,EABF07,14,12,303,22.1,42885.0,7.3
581,304,A Star Is Born-Again,3/2/03,EABF08,14,13,304,14.4,42185.0,7.1
582,317,The Regina Monologues,11/23/03,EABF22,15,4,317,12.2,43134.0,7.1
583,356,"The Father, the Son, and the Holy Guest Star",5/15/05,GABF09,16,21,356,9.69,48303.0,7.2
584,361,Marge's Son Poisoning,11/13/05,GABF20,17,5,361,11.4,39428.0,6.9
585,373,"Kiss Kiss, Bang Bangalore",4/9/06,HABF10,17,17,373,8.2,47829.0,7.2
586,380,Jazzy and the Pussycats,9/17/06,HABF18,18,2,380,8.94,33495.0,6.7
587,401,He Loves to Fly and He D'ohs,9/23/07,JABF20,19,1,401,9.7,36253.0,6.7
588,404,I Don't Wanna Know Why the Caged Bird Sings,10/14/07,JABF19,19,4,404,8.8,35850.0,6.9
589,409,Eternal Moonshine of the Simpson Mind,12/16/07,KABF02,19,9,409,10.15,44862.0,8.2
590,429,Lisa the Drama Queen,1/25/09,KABF22,20,9,429,5.75,38582.0,5.9
591,431,How the Test Was Won,3/1/09,LABF02,20,11,431,6.52,41271.0,7.0
592,434,In the Name of the Grandfather,3/22/09,LABF11,20,14,434,6.15,45727.0,6.3
593,435,Wedding for Disaster,3/29/09,LABF05,20,15,435,6.58,43254.0,6.8
594,486,The Ned-Liest Catch,5/22/11,NABF15,22,22,486,5.25,43681.0,7.0
595,500,At Long Last Leave,2/19/12,PABF07,23,14,500,5.77,45226.0,7.0
596,502,How I Wet Your Mother,3/11/12,PABF08,23,16,502,4.97,44818.0,7.3
597,511,Adventures in Baby-Getting,11/4/12,PABF18,24,3,511,5.65,39687.0,6.9
598,542,Diggs,3/9/14,SABF08,25,12,542,2.69,39292.0,6.4
599,548,Days of Future Future,4/13/14,SABF13,25,18,548,3.64,55742.0,7.0
