id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
221,Simpsons Bible Stories,4/4/99,AABF14,10,18,221,12.2,47155,7.3
260,Tennis the Menace,2/11/01,CABF07,12,12,260,14,51004,6.9
213,Viva Ned Flanders,1/10/99,AABF06,10,10,213,11.5,56561,7.8
230,Treehouse of Horror X,10/31/99,BABF01,11,4,230,8.7,47980,7.7
246,Last Tap Dance in Springfield,5/7/00,BABF15,11,20,246,7.3,47061,7.2
228,Brother's Little Helper,10/3/99,AABF22,11,2,228,7.1,44172,7.5
223,"The Old Man and the ""C"" Student",4/25/99,AABF16,10,20,223,6.9,47550,7.3
243,Bart to the Future,3/19/00,BABF13,11,17,243,8.77,75315,7
227,Beyond Blunderdome,9/26/99,AABF23,11,1,227,8.1,34394,7.3
225,They Saved Lisa's Brain,5/9/99,AABF18,10,22,225,6.8,47951,7.3
216,Homer to the Max,2/7/99,AABF09,10,13,216,8.3,55726,7.7
234,"Take My Wife, Sleaze",11/28/99,BABF05,11,8,234,8.9,41484,7.1
236,Little Big Mom,1/9/00,BABF04,11,10,236,10,48194,7.3
237,Faith Off,1/16/00,BABF06,11,11,237,10.4,43869,6.9
259,Worst Episode Ever,2/4/01,CABF08,12,11,259,18.5,49893,7.5
239,Saddlesore Galactica,2/6/00,BABF09,11,13,239,9.6,41259,6.6
248,Behind the Laughter,5/21/00,BABF19,11,22,248,8.3,74046,7.9
255,The Great Money Caper,12/10/00,CABF03,12,7,255,16.8,49325,7.3
241,Missionary: Impossible,2/20/00,BABF10,11,15,241,9.8,50427,7.3
244,Days of Wine and D'oh'ses,4/9/00,BABF14,11,18,244,8.3,48786,7.4
148,Bart on the Road,3/31/96,3F17,7,20,148,11.8,70913,8.6
264,"Bye, Bye, Nerdie",3/11/01,CABF11,12,16,264,16.1,45718,6.5
267,I'm Goin' to Praiseland,5/6/01,CABF15,12,19,267,13.1,49321,7.3
269,Simpsons Tall Tales,5/20/01,CABF17,12,21,269,13.4,56698,7
287,I Am Furious (Yellow),4/28/02,DABF13,13,18,287,12.4,69650,7.7
288,The Sweetest Apu,5/5/02,DABF14,13,19,288,11.8,47193,6.9
316,The President Wore Pearls,11/16/03,EABF20,15,3,316,12.7,37456,7
271,The Parent Rap,11/11/01,CABF22,13,2,271,14.9,47251,7.1
285,Weekend at Burnsie's,4/7/02,DABF11,13,16,285,12.5,54539,7.7
295,Large Marge,11/24/02,DABF18,14,4,295,17.4,55369,7.1
280,The Bart Wants What It Wants,2/17/02,DABF06,13,11,280,11.2,45176,7.1
305,Mr. Spritz Goes to Washington,3/9/03,EABF09,14,14,305,14.4,44837,6.9
273,A Hunka Hunka Burns in Love,12/2/01,CABF18,13,4,273,13.4,37376,7.2
293,How I Spent My Strummer Vacation,11/10/02,DABF22,14,2,293,12.5,35578,7.3
275,She of Little Faith,12/16/01,DABF02,13,6,275,13.2,45824,7.1
296,Helter Shelter,12/1/02,DABF21,14,5,296,15.1,42907,6.8
283,Tales from the Public Domain,3/17/02,DABF08,13,14,283,11.7,50301,7.3
300,The Strong Arms of the Ma,2/2/03,EABF04,14,9,300,15.4,51877,6.9
276,Brawl in the Family,1/6/02,DABF01,13,7,276,11.8,45684,6.9
278,Jaws Wired Shut,1/27/02,DABF05,13,9,278,14.2,49429,7.3
289,Little Girl in the Big Ten,5/12/02,DABF15,13,20,289,11.2,46466,7.2
310,Old Yeller-Belly,5/4/03,EABF14,14,19,310,11.59,43223,6.8
298,Special Edna,1/5/03,EABF02,14,7,298,15,40867,7.1
302,Barting Over,2/16/03,EABF05,14,11,302,21.3,47276,6.6
309,"Dude, Where's My Ranch?",4/27/03,EABF13,14,18,309,11.71,49000,7
312,The Bart of War,5/18/03,EABF16,14,21,312,12.1,50464,6.6
314,Treehouse of Horror XIV,11/2/03,EABF21,15,1,314,16.22,68381,7.4
165,Mountain of Madness,2/2/97,4F10,8,12,165,9.1,60763,8.6
319,Today I Am a Clown,12/7/03,FABF01,15,6,319,10.5,37890,6.6
321,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",1/4/04,FABF03,15,8,321,12,50276,6.7
323,Diatribe of a Mad Housewife,1/25/04,FABF05,15,10,323,10.6,45062,7.3
337,All's Fair in Oven War,11/14/04,FABF20,16,2,337,11.64,41064,7
334,Bart-Mangled Banner,5/16/04,FABF17,15,21,334,8.7,56275,6.2
353,A Star Is Torn,5/8/05,GABF13,16,18,353,8.72,44500,6.8
362,See Homer Run,11/20/05,GABF21,17,6,362,10.3,40306,6.9
325,Milhouse Doesn't Live Here Anymore,2/15/04,FABF07,15,12,325,9.4,46792,7.3
327,The Ziff Who Came to Dinner,3/14/04,FABF08,15,14,327,10.7,43747,6.9
343,Homer and Ned's Hail Mary Pass,2/6/05,GABF02,16,8,343,23.07,43356,6.4
358,The Girl Who Slept Too Little,9/18/05,GABF16,17,2,358,9.79,35717,6.9
329,The Wandering Juvie,3/28/04,FABF11,15,16,329,10.5,44539,6.9
359,Milhouse of Sand and Fog,9/25/05,GABF19,17,3,359,10.19,35779,7
360,Treehouse of Horror XVI,11/6/05,GABF17,17,4,360,11.63,74401,7.3
366,Homer's Paternity Coot,1/8/06,HABF03,17,10,366,10.1,39552,6.7
339,She Used to Be My Girl,12/5/04,FABF22,16,4,339,10.81,38908,6.6
330,My Big Fat Geek Wedding,4/18/04,FABF12,15,17,330,9.2,42440,6.7
350,Future-Drama,4/17/05,GABF12,16,15,350,8.31,53146,7.3
364,The Italian Bob,12/11/05,HABF02,17,8,364,10.39,45513,7
332,Simple Simpson,5/2/04,FABF15,15,19,332,9.5,46273,7.3
367,We're on the Road to D'ohwhere,1/29/06,HABF04,17,11,367,9.04,43599,7
346,On a Clear Day I Can't See My Sister,3/6/05,GABF05,16,11,346,10.39,46309,6.9
355,Home Away from Homer,5/15/05,GABF15,16,20,355,8.17,44606,7.1
336,Treehouse of Horror XV,11/7/04,FABF23,16,1,336,11.29,72271,7.4
341,Midnight Rx,1/16/05,FABF16,16,6,341,8.11,43118,7.3
344,Pranksta Rap,2/13/05,GABF03,16,9,344,8.01,42759,6.8
194,Dumbbell Indemnity,3/1/98,5F12,9,16,194,10.3,21214,7.6
375,Girls Just Want to Have Sums,4/30/06,HABF12,17,19,375,8.7,45267,7.2
377,The Monkey Suit,5/14/06,HABF14,17,21,377,8.3,48419,7.1
396,The Boys of Bummer,4/29/07,JABF11,18,18,396,7.57,44770,6.3
405,Treehouse of Horror XVIII,11/4/07,JABF16,19,5,405,11.7,69957,7.1
393,Rome-Old and Juli-Eh,3/11/07,JABF08,18,15,393,8.98,41751,6.3
416,Papa Don't Leech,4/13/08,KABF09,19,16,416,6.9,39238,6.1
378,Marge and Homer Turn a Couple Play,5/21/06,HABF16,17,22,378,8.23,42778,6.6
388,The Wife Aquatic,1/7/07,JABF03,18,10,388,13.9,41312,6.6
423,"Double, Double, Boy in Trouble",10/19/08,KABF14,20,3,423,8.09,45781,7
382,Treehouse of Horror XVII,11/5/06,HABF17,18,4,382,10.43,68799,7.1
411,That '90s Show,1/27/08,KABF04,19,11,411,7.6,43485,6.3
428,The Burns and the Bees,12/7/08,KABF21,20,8,428,6.19,38247,6.6
384,Moe'N'a Lisa,11/19/06,HABF19,18,6,384,9.31,37177,6.8
386,The Haw-Hawed Couple,12/10/06,JABF02,18,8,386,8.29,41161,7.2
407,Husbands and Knives,11/18/07,JABF17,19,7,407,10.5,44445,7.1
420,All About Lisa,5/18/08,KABF13,19,20,420,6.11,44616,6.4
400,You Kent Always Say What You Want,5/20/07,JABF15,18,22,400,9.8,45281,7.3
425,Dangerous Curves,11/9/08,KABF18,20,5,425,8.16,40078,6.6
391,Springfield Up,2/18/07,JABF07,18,13,391,8.8,45036,7.3
389,Revenge Is a Dish Best Served Three Times,1/28/07,JABF05,18,11,389,8.09,67621,7
395,Marge Gamer,4/22/07,JABF10,18,17,395,6.4,47107,7.3
398,Stop! Or My Dog Will Shoot,5/13/07,JABF12,18,20,398,6.48,42892,7
414,Dial 'N' for Nerder,3/9/08,KABF07,19,14,414,7.3,41658,7.3
412,"Love, Springfieldian Style",2/17/08,KABF05,19,12,412,7.81,40507,6.6
427,MyPods and Boomsticks,11/30/08,KABF20,20,7,427,7.8,40353,7.1
421,"Sex, Pies and Idiot Scrapes",9/28/08,KABF17,20,1,421,9.3,45735,7.2
418,Any Given Sundance,5/4/08,KABF11,19,18,418,6.18,41440,7
206,Bart the Mother,9/27/98,5F22,10,3,206,7.35,43240,7.5
430,"Take My Life, Please",2/15/09,LABF01,20,10,430,6.82,40679,7
432,"No Loan Again, Naturally",3/8/09,LABF03,20,12,432,5.99,41165,7
465,Elementary School Musical,9/26/10,MABF21,22,1,465,7.75,31638,6.3
439,"Waverly Hills, 9-0-2-1-D'oh",5/3/09,LABF10,20,19,439,6.75,45032,7.1
463,The Bob Next Door,5/16/10,MABF11,21,22,463,6.26,43446,7.2
437,"The Good, the Sad and the Drugly",4/19/09,LABF07,20,17,437,6.5,45179,7.2
451,Once Upon a Time in Springfield,1/10/10,LABF20,21,10,451,14.62,40194,6.7
443,Bart Gets a 'Z',10/4/09,LABF15,21,2,443,9.32,38196,6.6
436,Eeny Teeny Maya Moe,4/5/09,LABF06,20,16,436,6.5,40864,7.2
459,Chief of Hearts,4/18/10,MABF09,21,18,459,5.93,41528,6.9
444,The Great Wife Hope,10/11/09,LABF16,21,3,444,7.5,39134,6.3
461,To Surveil with Love,5/2/10,MABF12,21,20,461,6.06,45738,7.2
479,The Scorpion's Tale,3/6/11,NABF08,22,15,479,6.2,42142,6.7
477,The Blue and the Gray,2/13/11,NABF06,22,13,477,5.61,42028,6.9
454,The Color Yellow,2/21/10,MABF06,21,13,454,6.08,41059,6.6
470,The Fool Monty,11/21/10,NABF01,22,6,470,6.58,38097,6.5
449,"O Brother, Where Bart Thou?",12/13/09,MABF01,21,8,449,7.11,38097,7.2
453,Boy Meets Curl,2/14/10,MABF05,21,12,453,5.87,44945,6.8
481,Love Is a Many Strangled Thing,3/27/11,NABF10,22,17,481,6.14,41202,6.5
446,The Devil Wears Nada,11/15/09,LABF17,21,5,446,9.04,42893,6.7
484,Homer Scissorhands,5/8/11,NABF13,22,20,484,5.48,46154,7.2
456,Stealing First Base,3/21/10,MABF07,21,15,456,5.69,40487,7
471,How Munched is That Birdie in the Window?,11/28/10,NABF02,22,7,471,9.38,37568,6.4
483,The Real Housewives of Fat Tony,5/1/11,NABF12,22,19,483,6.1,41638,6.6
474,Moms I'd Like to Forget,1/9/11,NABF03,22,10,474,12.6,41253,6.3
467,MoneyBart,10/10/10,MABF18,22,3,467,6.72,39073,6.8
475,Flaming Moe,1/16/11,NABF04,22,11,475,6.47,42734,6.9
217,I'm with Cupid,2/14/99,AABF11,10,14,217,7.7,46822,7.3
488,Bart Stops to Smell the Roosevelts,10/2/11,NABF17,23,2,488,6.19,37642,7
490,Replaceable You,11/6/11,NABF21,23,4,490,7.97,38034,6.7
497,The D'oh-cial Network,1/15/12,PABF04,23,11,497,11.48,43275,7
540,Married to the Blob,1/12/14,SABF03,25,10,540,4.83,40646,7.1
507,Ned 'n Edna's Blend,5/13/12,PABF15,23,21,507,4.07,47005,6.7
512,Gone Abie Gone,11/11/12,PABF16,24,4,512,6.86,35136,6.7
517,Homer Goes to Prep School,1/6/13,RABF02,24,9,517,8.97,42306,6.9
533,Four Regrettings and a Funeral,11/3/13,RABF18,25,3,533,5.43,39301,6.5
537,Yellow Subterfuge,12/8/13,SABF04,25,7,537,6.85,43717,7
505,A Totally Fun Thing That Bart Will Never Do Again,4/29/12,PABF12,23,19,505,5,53058,7.4
492,The Book Job,11/20/11,NABF22,23,6,492,5.77,42780,7.8
499,The Daughter Also Rises,2/12/12,PABF06,23,13,499,4.26,40669,6.5
539,Steal This Episode,1/5/14,SABF05,25,9,539,12.04,45354,7.6
501,Exit Through the Kwik-E-Mart,3/4/12,PABF09,23,15,501,5.09,45133,6.9
523,"Black Eyed, Please",3/10/13,RABF09,24,15,523,4.85,42925,7
503,"Them, Robot",3/18/12,PABF10,23,17,503,5.25,43615,7.1
532,Treehouse of Horror XXIV,10/6/13,RABF16,25,2,532,6.42,64758,7.1
526,Pulpit Friction,4/28/13,RABF11,24,18,526,4.54,41184,6.5
519,The Changing of the Guardian,1/27/13,RABF04,24,11,519,5.23,42215,6.6
509,Moonshine River,9/30/12,PABF21,24,1,509,8.08,36570,6.4
514,A Tree Grows in Springfield,11/25/12,PABF22,24,6,514,7.46,43211,6.5
510,Treehouse of Horror XXIII,10/7/12,PABF17,24,2,510,6.57,67484,7.3
515,The Day the Earth Stood Cool,12/9/12,PABF20,24,7,515,7.44,40649,7.2
521,Hardly Kirk-ing,2/17/13,RABF05,24,13,521,4.57,42807,7
528,The Fabulous Faker Boy,5/12/13,RABF12,24,20,528,4.16,42426,6.3
535,Labor Pains,11/17/13,RABF19,25,5,535,4.08,40671,7.1
530,Dangers on a Train,5/19/13,RABF17,24,22,530,4.52,44984,7
218,"Marge Simpson in: ""Screaming Yellow Honkers""",2/21/99,AABF10,10,15,218,8.6,52778,7.3
544,The Winter of His Content,3/16/14,SABF09,25,14,544,4.02,44271,6.6
549,What to Expect When Bart's Expecting,4/27/14,SABF14,25,19,549,3.45,48760,5.8
560,Covercraft,11/23/14,TABF02,26,8,560,3.45,38432,6.5
565,Walking Big & Tall,2/8/15,TABF06,26,13,565,2.78,36221,6.3
579,Treehouse of Horror XXVI,10/25/15,TABF18,27,5,579,6.75,195,6.8
584,The Girl Code,1/3/16,VABF03,27,10,584,4.41,166,6.6
551,Pay Pal,5/11/14,SABF15,25,21,551,3.66,51132,6.7
575,Every Man's Dream,9/27/15,TABF14,27,1,575,3.28,187,5.9
572,Let's Go Fly a Coot,5/3/15,TABF13,26,20,572,3.12,40783,6.2
569,Waiting for Duffman,3/15/15,TABF10,26,17,569,3.59,37874,6.7
581,Lisa with an 'S',11/22/15,TABF20,27,7,581,5.64,145,6.3
563,Bart's New Friend,1/11/15,TABF05,26,11,563,4.28,39702,7.3
587,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2/14/16,VABF07,27,13,587,2.89,158,6.3
571,The Kids Are All Fight,4/26/15,TABF12,26,19,571,3.33,42123,6.9
568,Sky Police,3/8/15,TABF09,26,16,568,3.79,43023,6.9
553,Clown in the Dumps,9/28/14,SABF20,26,1,553,8.53,29526,5.8
555,Super Franchise Me,10/12/14,SABF19,26,3,555,7.33,42912,6.5
586,Much Apu About Something,1/17/16,VABF05,27,12,586,3.95,170,6.7
561,I Won't Be Home for Christmas,12/7/14,TABF03,26,9,561,6.52,37064,6.8
556,Treehouse of Horror XXV,10/19/14,SABF21,26,4,556,7.76,65425,7.3
566,My Fare Lady,2/15/15,TABF07,26,14,566,2.67,35846,6.7
591,The Burns Cage,4/3/16,VABF10,27,17,591,2.32,190,6.5
574,Mathlete's Feat,5/17/15,TABF16,26,22,574,2.82,47429,6.9
589,Lisa the Veterinarian,3/6/16,VABF08,27,15,589,3.09,174,6.3
582,Paths of Glory,12/6/15,VABF01,27,8,582,5.53,170,7.1
577,Puffless,10/11/15,TABF19,27,3,577,3.31,160,7.2
31,Brush with Greatness,4/11/91,7F18,2,18,31,20.6,58561,8
45,Flaming Moe's,11/21/91,8F08,3,10,45,23.9,58968,8.8
5,Bart the General,2/4/90,7G05,1,5,5,27.1,63129,8.1
59,"Brother, Can You Spare Two Dimes?",8/27/92,8F23,3,24,59,17.2,50936,8.2
62,Homer the Heretic,10/8/92,9F01,4,3,62,19.3,64605,9
83,Cape Feare,10/7/93,9F22,5,2,83,20,65585,9
88,Bart's Inner Child,11/11/93,1F05,5,7,88,18.7,74139,7.7
96,Deep Space Homer,2/24/94,1F13,5,15,96,18.2,75439,8.8
100,Sweet Seymour Skinner's Baadasssss Song,4/28/94,1F18,5,19,100,19.7,66406,8.4
101,The Boy Who Knew Too Much,5/5/94,1F19,5,20,101,15.5,74427,8.2
109,Treehouse of Horror V,10/30/94,2F03,6,6,109,22.2,119295,9
128,Who Shot Mr. Burns? (Part One),5/21/95,2F16,6,25,128,15,86070,9.1
155,You Only Move Twice,11/3/96,3F23,8,2,155,13.9,79609,9.2
162,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),1/5/97,3F24,8,9,162,14.9,64743,8.5
176,Homer's Enemy,5/4/97,4F19,8,23,176,11.8,74177,9.2
182,Treehouse of Horror VIII,10/26/97,5F02,9,4,182,10.9,30963,8.1
185,The Two Mrs. Nahasapeemapetilons,11/16/97,5F04,9,7,185,11.4,19419,7.7
209,D'oh-in' in the Wind,11/15/98,AABF02,10,6,209,8.3,45779,7.6
256,Skinner's Sense of Snow,12/17/00,CABF06,12,8,256,15.9,56755,8
257,HOMR,1/7/01,BABF22,12,9,257,18.5,68784,8
266,Trilogy of Error,4/29/01,CABF14,12,18,266,14.4,53728,8.6
291,Poppa's Got a Brand New Badge,5/22/02,DABF17,13,22,291,8.2,53639,8
292,Treehouse of Horror XIII,11/3/02,DABF19,14,1,292,16.7,71817,7.6
495,Holidays of Future Passed,12/11/11,NABF18,23,9,495,6.43,69460,8.2
558,Simpsorama,11/9/14,SABF16,26,6,558,6.7,48223,7.9
578,Halloween of Horror,10/18/15,TABF22,27,4,578,3.69,196,7.5
594,To Courier with Love,5/8/16,VABF14,27,20,594,2.52,192,6.7
3,Homer's Odyssey,1/21/90,7G03,1,3,3,27.5,78072,7.5
235,Grift of the Magi,12/19/99,BABF07,11,9,235,7.76,48070,7.3
250,A Tale of Two Springfields,11/5/00,BABF20,12,2,250,16.2,40990,7.4
253,Homer vs. Dignity,11/26/00,CABF04,12,5,253,15,44005,7.2
282,The Old Man and the Key,3/10/02,DABF09,13,13,282,14.5,41049,6.5
307,'Scuse Me While I Miss the Sky,3/30/03,EABF11,14,16,307,12.6,43756,7.1
324,Margical History Tour,2/8/04,FABF06,15,11,324,8.9,42492,7.1
348,Mobile Homer,3/20/05,GABF07,16,13,348,8.49,45489,7
351,Don't Fear the Roofer,5/1/05,GABF10,16,16,351,11.92,41620,7.4
369,The Seemingly Never-Ending Story,3/12/06,HABF06,17,13,369,9.72,48854,7.4
371,"Homer Simpson, This Is Your Wife",3/26/06,HABF08,17,15,371,10.09,41323,6.5
374,The Wettest Stories Ever Told,4/23/06,HABF11,17,18,374,7.04,42280,6.7
403,Midnight Towboy,10/7/07,JABF21,19,3,403,7.7,35926,7.2
426,Homer and Lisa Exchange Cross Words,11/16/08,KABF19,20,6,426,8.52,38879,7.1
441,Coming to Homerica,5/17/09,LABF12,20,21,441,5.86,6477,7.2
445,Treehouse of Horror XX,10/18/09,LABF14,21,4,445,8.59,66209,7.3
458,American History X-cellent,4/11/10,MABF08,21,17,458,5.65,44645,6.7
460,The Squirt and the Whale,4/25/10,MABF14,21,19,460,5.94,40632,6.9
468,Treehouse of Horror XXI,11/7/10,MABF16,22,4,468,8.19,61954,7.1
493,The Man in the Blue Flannel Pants,11/27/11,PABF01,23,7,493,5.61,41687,6.8
524,Dark Knight Court,3/17/13,RABF10,24,16,524,4.89,44170,7.1
529,The Saga of Carl,5/19/13,RABF14,24,21,529,4.01,42996,7.2
546,You Don't Have to Live Like a Referee,3/30/14,SABF11,25,16,546,3.91,42080,6.9
567,The Princess Guide,3/1/15,TABF08,26,15,567,3.93,34137,6.6
592,How Lisa Got Her Marge Back,4/10/16,VABF11,27,18,592,2.55,188,6.4
596,Orange Is the New Yellow,5/22/16,VABF15,27,22,596,2.54,276,6.9
597,Monty Burns' Fleeing Circus,9/25/16,VABF20,28,1,597,3.36,994,6.6
262,New Kids on the Blecch,2/25/01,CABF12,12,14,262,18.1,50903,7.2
277,Sweets and Sour Marge,1/20/02,DABF03,13,8,277,12.3,54348,7
290,The Frying Game,5/19/02,DABF16,13,21,290,10.8,48954,7.1
303,I'm Spelling As Fast As I Can,2/16/03,EABF07,14,12,303,22.1,42885,7.3
304,A Star Is Born-Again,3/2/03,EABF08,14,13,304,14.4,42185,7.1
317,The Regina Monologues,11/23/03,EABF22,15,4,317,12.2,43134,7.1
356,"The Father, the Son, and the Holy Guest Star",5/15/05,GABF09,16,21,356,9.69,48303,7.2
361,Marge's Son Poisoning,11/13/05,GABF20,17,5,361,11.4,39428,6.9
373,"Kiss Kiss, Bang Bangalore",4/9/06,HABF10,17,17,373,8.2,47829,7.2
380,Jazzy and the Pussycats,9/17/06,HABF18,18,2,380,8.94,33495,6.7
401,He Loves to Fly and He D'ohs,9/23/07,JABF20,19,1,401,9.7,36253,6.7
404,I Don't Wanna Know Why the Caged Bird Sings,10/14/07,JABF19,19,4,404,8.8,35850,6.9
409,Eternal Moonshine of the Simpson Mind,12/16/07,KABF02,19,9,409,10.15,44862,8.2
429,Lisa the Drama Queen,1/25/09,KABF22,20,9,429,5.75,38582,5.9
431,How the Test Was Won,3/1/09,LABF02,20,11,431,6.52,41271,7
434,In the Name of the Grandfather,3/22/09,LABF11,20,14,434,6.15,45727,6.3
435,Wedding for Disaster,3/29/09,LABF05,20,15,435,6.58,43254,6.8
486,The Ned-Liest Catch,5/22/11,NABF15,22,22,486,5.25,43681,7
500,At Long Last Leave,2/19/12,PABF07,23,14,500,5.77,45226,7
502,How I Wet Your Mother,3/11/12,PABF08,23,16,502,4.97,44818,7.3
511,Adventures in Baby-Getting,11/4/12,PABF18,24,3,511,5.65,39687,6.9
542,Diggs,3/9/14,SABF08,25,12,542,2.69,39292,6.4
548,Days of Future Future,4/13/14,SABF13,25,18,548,3.64,55742,7
