Measure type,Year,New Conifers,New Broadleaves,Total New,Unit of Measure
New Conifers,1976,27.37,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1987,23.5,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1998,6.98,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1989,,,30.17,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1978,,,21.82,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1977,23.35,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1988,26.56,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1999,6.63,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1989,26.8,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1999,,,16.99,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1988,,,29.83,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1977,,,24.23,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1978,21.07,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1998,,,16.9,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1987,,,25.58,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1976,,,28.3,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1979,20.15,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2009,,,6.44,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1997,,,17.6,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1986,,,24.44,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2019,,,13.54,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
